id,code,name,kind,lft,rght,iata_code,unlocode,latitude,longitude,parent_id,iso_code,postal_code,source,status,timezone,altitude,country_code,display_name
"1","ID","Indonesia","country",\N,\N,\N,\N,\N,\N,\N,\N,\N,"Kemendagri","active",\N,\N,"ID","Indonesia"
"2","11","Aceh","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Aceh (Provinsi)"
"3","12","Sumatera Utara","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Sumatera Utara (Provinsi)"
"4","13","Sumatera Barat","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Sumatera Barat (Provinsi)"
"5","14","Riau","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Riau (Provinsi)"
"6","15","Jambi","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Jambi (Provinsi)"
"7","16","Sumatera Selatan","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Sumatera Selatan (Provinsi)"
"8","17","Bengkulu","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Bengkulu (Provinsi)"
"9","18","Lampung","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Lampung (Provinsi)"
"10","19","Kepulauan Bangka Belitung","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Kepulauan Bangka Belitung (Provinsi)"
"11","21","Kepulauan Riau","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Kepulauan Riau (Provinsi)"
"12","31","DKI Jakarta","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Dki Jakarta (Provinsi)"
"13","32","Jawa Barat","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Jawa Barat (Provinsi)"
"14","33","Jawa Tengah","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Jawa Tengah (Provinsi)"
"15","34","Daerah Istimewa Yogyakarta","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Daerah Istimewa Yogyakarta (Provinsi)"
"16","35","Jawa Timur","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Jawa Timur (Provinsi)"
"17","36","Banten","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Banten (Provinsi)"
"18","51","Bali","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Bali (Provinsi)"
"19","52","Nusa Tenggara Barat","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Nusa Tenggara Barat (Provinsi)"
"20","53","Nusa Tenggara Timur","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Nusa Tenggara Timur (Provinsi)"
"21","61","Kalimantan Barat","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Kalimantan Barat (Provinsi)"
"22","62","Kalimantan Tengah","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Kalimantan Tengah (Provinsi)"
"23","63","Kalimantan Selatan","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Kalimantan Selatan (Provinsi)"
"24","64","Kalimantan Timur","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Kalimantan Timur (Provinsi)"
"25","65","Kalimantan Utara","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Kalimantan Utara (Provinsi)"
"26","71","Sulawesi Utara","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Sulawesi Utara (Provinsi)"
"27","72","Sulawesi Tengah","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Sulawesi Tengah (Provinsi)"
"28","73","Sulawesi Selatan","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Sulawesi Selatan (Provinsi)"
"29","74","Sulawesi Tenggara","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Sulawesi Tenggara (Provinsi)"
"30","75","Gorontalo","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Gorontalo (Provinsi)"
"31","76","Sulawesi Barat","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Sulawesi Barat (Provinsi)"
"32","81","Maluku","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Maluku (Provinsi)"
"33","82","Maluku Utara","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Maluku Utara (Provinsi)"
"34","91","Papua","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Papua (Provinsi)"
"35","92","Papua Barat","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Papua Barat (Provinsi)"
"36","93","Papua Selatan","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Papua Selatan (Provinsi)"
"37","94","Papua Tengah","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Papua Tengah (Provinsi)"
"38","95","Papua Pegunungan","province",\N,\N,\N,\N,\N,\N,"1",\N,\N,"Kemendagri","active",\N,\N,"ID","Papua Pegunungan (Provinsi)"
"39","1101","Kabupaten Aceh Selatan","regency",\N,\N,\N,\N,\N,\N,"2",\N,\N,"Kemendagri","active",\N,\N,"ID","Kabupaten Aceh Selatan, Aceh"
"40","1102","Kabupaten Aceh Tenggara","regency",\N,\N,\N,\N,\N,\N,"2",\N,\N,"Kemendagri","active",\N,\N,"ID","Kabupaten Aceh Tenggara, Aceh"
"41","1103","Kabupaten Aceh Timur","regency",\N,\N,\N,\N,\N,\N,"2",\N,\N,"Kemendagri","active",\N,\N,"ID","Kabupaten Aceh Timur, Aceh"
"42","1104","Kabupaten Aceh Tengah","regency",\N,\N,\N,\N,\N,\N,"2",\N,\N,"Kemendagri","active",\N,\N,"ID","Kabupaten Aceh Tengah, Aceh"
"43","1105","Kabupaten Aceh Barat","regency",\N,\N,\N,\N,\N,\N,"2",\N,\N,"Kemendagri","active",\N,\N,"ID","Kabupaten Aceh Barat, Aceh"
"44","1106","Kabupaten Aceh Besar","regency",\N,\N,\N,\N,\N,\N,"2",\N,\N,"Kemendagri","active",\N,\N,"ID","Kabupaten Aceh Besar, Aceh"
"45","1107","Kabupaten Pidie","regency",\N,\N,\N,\N,\N,\N,"2",\N,\N,"Kemendagri","active",\N,\N,"ID","Kabupaten Pidie, Aceh"
"46","1108","Kabupaten Aceh Utara","regency",\N,\N,\N,\N,\N,\N,"2",\N,\N,"Kemendagri","active",\N,\N,"ID","Kabupaten Aceh Utara, Aceh"
"47","1109","Kabupaten Simeulue","regency",\N,\N,\N,\N,\N,\N,"2",\N,\N,"Kemendagri","active",\N,\N,"ID","Kabupaten Simeulue, Aceh"
"48","1110","Kabupaten Aceh Singkil","regency",\N,\N,\N,\N,\N,\N,"2",\N,\N,"Kemendagri","active",\N,\N,"ID","Kabupaten Aceh Singkil, Aceh"
"49","1111","Kabupaten Bireuen","regency",\N,\N,\N,\N,\N,\N,"2",\N,\N,"Kemendagri","active",\N,\N,"ID","Kabupaten Bireuen, Aceh"
"50","1112","Kabupaten Aceh Barat Daya","regency",\N,\N,\N,\N,\N,\N,"2",\N,\N,"Kemendagri","active",\N,\N,"ID","Kabupaten Aceh Barat Daya, Aceh"
"51","1113","Kabupaten Gayo Lues","regency",\N,\N,\N,\N,\N,\N,"2",\N,\N,"Kemendagri","active",\N,\N,"ID","Kabupaten Gayo Lues, Aceh"
